radiusloc	timebase
0.43470001	-0.24000001
0.4332	-0.23499668
0.43169999	-0.22999334
0.43020001	-0.22499001
0.42860001	-0.21998666
0.4271	-0.21498333
0.42559999	-0.20998
0.42410001	-0.20497666
0.4226	-0.19997333
0.456	-0.19496998
0.41949999	-0.18996665
	-0.18496332
	-0.17995998
	-0.17495665
	-0.16995332
	-0.16494998
	-0.15994665
	-0.1549433
	-0.14993997
	-0.14493664
	-0.13993329
	-0.13492996
	-0.12992662
	-0.12492329
	-0.11991996
	-0.11491662
	-0.10991329
	-0.10490996
	-0.099906608
	-0.094903275
	-0.089899942
	-0.084896609
	-0.079893276
	-0.074889943
	-0.069886595
	-0.064883262
	-0.059879929
	-0.054876596
	-0.049873263
	-0.04486993
	-0.039866582
	-0.034863248
	-0.029859915
	-0.024856582
	-0.019853249
	-0.014849916
	-0.0098465681
	-0.004843235
	0.00016009808
	0.0051634312
	0.010166764
	0.015170097
	0.02017343
	0.025176764
	0.030180097
	0.03518346
	0.040186793
	0.045190126
	0.050193459
	0.055196792
	0.060200125
	0.065203458
	0.070206791
	0.075210124
	0.080213457
	0.08521679
	0.090220124
	0.095223486
	0.10022682
	0.10523015
	0.11023349
	0.11523682
	0.12024015
	0.12524348
	0.13024682
	0.13525015
	0.14025348
	0.14525682
	0.15026015
	0.15526351
	0.16026685
	0.16527018
	0.17027351
	0.17527685
	0.18028018
	0.18528351
	0.19028684
	0.19529018
	0.20029351
	0.20529684
	0.21030018
	0.21530354
	0.22030687
	0.22531021
	0.23031354
	0.23531687
	0.24032021
	0.24532354
	0.25032687
	0.2553302
	0.26033354
	0.26533687
	0.2703402
	0.27534354
	0.28034687
	0.2853502
	0.29035354
	0.29535687
	0.3003602
	0.3053636
	0.31036693
	0.31537026
	0.32037359
	0.32537693
	0.33038026
	0.33538359
	0.34038693
	0.34539026
	0.35039359
	0.35539693
	0.36040026
	0.36540359
	0.37040693
	0.37541026
	0.38041359
	0.38541692
	0.39042026
	0.39542359
	0.40042692
	0.40543026
	0.41043359
	0.41543692
	0.42044026
	0.42544365
	0.43044698
	0.43545032
	0.44045365
	0.44545698
	0.45046031
	0.45546365
	0.46046698
	0.46547031
	0.47047365
	0.47547698
	0.48048031
	0.48548365
	0.49048698
	0.49549031
	0.50049365
	0.50549698
	0.51050031
	0.51550364
	0.52050698
	0.52551031
	0.53051364
	0.53551698
	0.54052031
	0.54552364
	0.55052704
	0.55553037
	0.5605337
	0.56553704
	0.57054037
	0.5755437
	0.58054703
	0.58555037
	0.5905537
	0.59555703
	0.60056037
	0.6055637
	0.61056703
	0.61557037
	0.6205737
	0.62557703
	0.63058037
	0.6355837
	0.64058703
	0.64559036
	0.6505937
	0.65559703
	0.66060036
	0.6656037
	0.67060709
	0.67561042
	0.68061376
	0.68561709
	0.69062042
	0.69562376
	0.70062709
	0.70563042
	0.71063375
	0.71563709
	0.72064042
	0.72564375
	0.73064709
	0.73565042
	0.74065375
	0.74565709
	0.75066042
	0.75566375
	0.76066709
	0.76567042
	0.77067375
	0.77567708
	0.78068042
	0.78568375
	0.79068708
	0.79569042
	0.80069375
	0.80569708
	0.81070042
	0.81570375
	0.82070708
	0.82571042
	0.83071375
	0.83571708
	0.84072042
	0.84572375
	0.8507272
	0.85573053
	0.86073387
	0.8657372
	0.87074053
	0.87574387
	0.8807472
	0.88575053
	0.89075387
	0.8957572
	0.90076053
	0.90576386
	0.9107672
	0.91577053
	0.92077386
	0.9257772
	0.93078053
	0.93578386
	0.9407872
	0.94579053
	0.95079386
	0.9557972
	0.96080053
	0.96580386
	0.97080719
	0.97581053
	0.98081386
	0.98581719
	0.99082053
	0.99582386
	1.0008272
	1.0058305
	1.0108339
	1.0158372
	1.0208405
	1.0258439
	1.0308472
	1.0358505
	1.0408539
	1.0458572
	1.0508605
	1.0558639
	1.0608672
	1.0658705
	1.0708739
	1.0758772
	1.0808805
	1.0858839
	1.0908873
	1.0958906
	1.100894
	1.1058973
	1.1109006
	1.115904
	1.1209073
	1.1259106
	1.130914
	1.1359173
	1.1409206
	1.145924
	1.1509273
	1.1559306
	1.160934
	1.1659373
	1.1709406
	1.175944
	1.1809473
	1.1859506
	1.190954
	1.1959573
	1.2009606
	1.205964
	1.2109673
	1.2159706
	1.220974
	1.2259773
	1.2309806
	1.235984
	1.2409873
	1.2459906
	1.250994
	1.2559973
	1.2610006
	1.266004
	1.2710073
	1.2760106
	1.281014
	1.2860173
	1.2910206
	1.296024
	1.3010273
	1.3060306
	1.311034
	1.3160373
	1.3210406
	1.326044
	1.3310473
	1.3360507
	1.3410541
	1.3460574
	1.3510607
	1.3560641
	1.3610674
	1.3660707
	1.3710741
	1.3760774
	1.3810807
	1.3860841
	1.3910874
	1.3960907
	1.4010941
	1.4060974
	1.4111007
	1.4161041
	1.4211074
	1.4261107
	1.4311141
	1.4361174
	1.4411207
	1.4461241
	1.4511274
	1.4561307
	1.4611341
	1.4661374
	1.4711407
	1.4761441
	1.4811474
	1.4861507
	1.4911541
	1.4961574
	1.5011607
	1.5061641
	1.5111674
	1.5161707
	1.5211741
	1.5261774
	1.5311807
	1.5361841
	1.5411874
	1.5461907
	1.5511941
	1.5561974
	1.5612007
	1.5662041
	1.5712074
	1.5762109
	1.5812142
	1.5862175
	1.5912209
	1.5962242
	1.6012275
	1.6062309
	1.6112342
	1.6162375
	1.6212409
	1.6262442
	1.6312475
	1.6362509
	1.6412542
	1.6462575
	1.6512609
	1.6562642
	1.6612675
	1.6662709
	1.6712742
	1.6762775
	1.6812809
	1.6862842
	1.6912875
	1.6962909
	1.7012942
	1.7062975
	1.7113008
	1.7163042
	1.7213075
	1.7263108
	1.7313142
	1.7363175
	1.7413208
	1.7463242
	1.7513275
	1.7563308
	1.7613342
	1.7663376
	1.7713408
	1.7763443
	1.7813475
	1.786351
	1.7913542
	1.7963576
	1.8013608
	1.8063643
	1.8113675
	1.816371
	1.8213742
	1.8263776
	1.8313808
	1.8363843
	1.8413875
	1.846391
	1.8513942
